51,2,6,528,16,25,6,5,2,0,10,49,2,7,515,17,18,2,2,1,0,10
35,6,15,346,21,36,4,0,6,0,13,65,6,21,651,13,18,12,0,0,0,11
65,6,21,651,13,18,12,0,0,0,11,35,6,15,346,21,36,4,0,6,0,13
49,4,21,473,16,21,4,4,2,0,11,51,7,9,504,21,19,2,1,0,0,12
51,7,9,504,21,19,2,1,0,0,12,49,4,21,473,16,21,4,4,2,0,11
48,1,13,521,20,21,2,3,0,0,9,52,2,11,585,14,32,4,2,2,0,6
52,2,11,585,14,32,4,2,2,0,6,48,1,13,521,20,21,2,3,0,0,9
57,2,9,458,9,30,6,0,1,0,11,43,4,8,346,18,29,4,4,2,0,14
43,4,8,346,18,29,4,4,2,0,14,57,2,9,458,9,30,6,0,1,0,11
41,5,22,313,12,21,4,0,3,0,15,59,4,9,479,16,32,4,0,3,0,16
59,4,9,479,16,32,4,0,3,0,16,41,5,22,313,12,21,4,0,3,0,15
69,10,24,679,15,10,10,0,10,0,11,31,0,5,302,12,19,1,0,2,0,5
31,0,5,302,12,19,1,0,2,0,5,69,10,24,679,15,10,10,0,10,0,11
68,6,27,504,17,15,10,1,0,0,13,32,2,8,247,19,49,2,1,2,0,17
32,2,8,247,19,49,2,1,2,0,17,68,6,27,504,17,15,10,1,0,0,13
44,4,13,377,31,14,10,3,3,0,8,56,2,10,506,13,25,6,2,0,0,10
